"","V1"
"380",90.3451756789377
"381",90.725519964156
"382",90.28635838901
"383",90.4853962351904
"384",89.7158002652289
"385",90.0119696361375
"386",89.944065641851
"387",90.4493321026431
"388",90.1079557508013
"389",89.5328609195521
"390",90.3859965582797
"391",89.7131496279553
"392",90.3280085391712
"393",89.7318246345816
"394",90.3361007577937
"395",89.5604350408178
"396",90.292197419863
"397",90.5229832392664
"398",89.8945485666416
"399",89.1159997858506
"400",90.4140204558682
"401",89.9283741334726
"402",89.852383595916
"403",89.8621406814982
"404",89.5584074008042
"405",89.4541400549764
"406",89.2678457213215
"407",89.3993644772492
"408",90.0269806493012
"409",89.8566514003713
"410",89.8281981594138
"411",90.0960042493053
"412",89.9479438181218
"413",89.7252639109839
"414",89.8750436579251
"415",89.0691319358671
"416",89.917487872162
"417",89.8544636641037
"418",89.6676328786854
"419",89.7610409574204
"420",90.2033373777916
"421",89.6847877138593
"422",90.0334679180778
"423",89.8327889603716
"424",89.6280786210369
"425",90.1815532191373
"426",90.5601468362663
"427",89.7311285282638
"428",89.9545254925643
"429",89.4235097238805
"430",90.324336371324
"431",89.7730868381566
"432",90.0273102794422
"433",89.6501324732835
"434",90.0131428213834
"435",89.6651988986986
"436",89.9617615622102
"437",89.9972091118481
"438",89.9111250224055
"439",89.9096919124268
"440",89.8152836037202
"441",89.7471521337985
"442",90.0232221387251
"443",89.3926710343162
"444",89.7664625652024
"445",89.5920472179559
"446",89.8406052504602
"447",89.4072377962794
"448",89.9316161360633
"449",89.7397021839965
"450",89.2251143730263
"451",89.7184076564562
"452",89.2075897077163
"453",89.5804509980097
"454",89.2530462185546
"455",89.6430324891311
"456",89.5355384831401
"457",89.4076804102343
"458",89.7343886064182
"459",88.7577071466981
"460",89.755789484608
"461",90.05289343742
"462",89.6092355194102
"463",89.8275811909208
"464",89.879411222258
"465",89.8866689851703
"466",89.6423694372593
"467",89.8760447233181
"468",89.604041813007
"469",89.6236582574854
"470",89.8742771096674
"471",80.7849119584127
"472",91.0303282996839
"473",90.423092384284
"474",90.0688461805947
"475",90.4474399182548
"476",90.5833810392623
"477",81.9096954737622
"478",91.4089464263965
"479",90.6615244485463
"480",90.727236157362
"481",90.4975740703365
"482",90.6871843860801
"483",90.1355249537866
"484",90.722167678436
"485",90.8915618148109
"486",90.5925394887326
"487",90.828696957894
"488",90.9853742738924
"489",91.2596653474616
"490",91.1527018125706
"491",90.9051590329798
"492",91.4727675180601
"493",91.4766630518593
"494",91.3421538557001
"495",91.5073143932622
"496",91.0845050732791
"497",91.2044125699743
"498",91.5042208357449
"499",91.6418456604264
"500",91.321828641751
"501",82.3541059143541
"502",92.3936690240954
"503",91.7138346457162
"504",91.4579713300017
"505",82.5120100088551
"506",91.2756992511898
"507",90.5950136818103
"508",90.5173075984098
"509",90.5202483337285
"510",90.6607880635955
"511",90.5377599471251
"512",90.6906296007317
"513",90.726992801492
"514",90.7735147931803
"515",90.5495344748642
"516",90.7003463536646
"517",90.0577734835333
"518",90.7079585618299
"519",90.3833496652057
"520",90.7613814609198
"521",91.1138932403946
"522",90.8980896090964
"523",90.8475825762194
"524",90.5120103817708
"525",81.7578349517812
"526",82.2781297520987
"527",81.4177786219073
"528",90.0163174835878
"529",89.1301815150925
"530",88.8896990278589
"531",89.0422627264504
"532",89.2344610293607
"533",89.6866598904697
"534",89.4022588464822
"535",88.9303014642892
"536",89.1653605966508
"537",89.3892113875188
"538",89.3450470689678
"539",89.0292054596738
"540",89.5055323932433
"541",89.1861930585208
"542",89.110078216593
"543",89.1744317694214
"544",88.9988044617193
"545",88.9189758003162
"546",89.4578365033092
"547",89.1739631444607
"548",89.0053879205686
"549",89.1289248483765
"550",88.8223914819635
"551",89.1512377185897
"552",88.9206671682169
"553",89.3116507580962
"554",89.2955369955941
"555",88.809003881093
"556",89.1052622668686
"557",88.8855871523253
"558",89.1860634836637
"559",88.8232848250384
"560",89.5056555851867
"561",88.8844774496015
"562",89.2885269811259
"563",88.9964197204276
"564",89.4534827156763
"565",89.4923870679757
"566",89.308901117926
"567",89.1258678174882
"568",89.227000159083
"569",80.7154712290453
"570",90.0110746233033
"571",88.8078628042492
"572",88.9688805131139
"573",88.9706462437914
"574",88.6837221708604
"575",88.937519125159
"576",88.6558290749615
"577",88.6309386591401
"578",88.0335355112213
"579",88.6553256809248
"580",88.895568699129
"581",88.5171345017919
"582",89.2407408005404
"583",88.9996790946739
"584",88.575810127263
"585",88.7784453875694
"586",88.6161971724941
"587",88.6119755019384
"588",89.0649654478112
"589",88.6930789795752
"590",88.6844173569552
"591",88.7400198776485
"592",88.6841398335334
"593",88.8333328265016
"594",88.7659413550427
"595",88.8046024041445
"596",88.5621448336998
"597",88.7760986949381
"598",88.9703341364205
"599",88.7761498513949
"600",88.5900879865008
"601",88.9263155808585
"602",88.752291267278
"603",88.8816918583682
"604",88.9299844387413
"605",89.1135344329565
"606",88.9919336841127
"607",89.0852191253415
"608",88.7696802989961
"609",88.9892101665323
"610",88.7193935914261
"611",88.8899541647669
"612",89.0823527961938
"613",88.82780203419
"614",88.9025594233774
"615",89.1450318192511
"616",88.6243819854333
"617",89.0646733936583
"618",89.0422404682382
"619",89.2741985149967
"620",88.8055721820572
"621",88.8759751120411
"622",89.1032439409628
"623",89.3500478001814
"624",88.3425406531317
"625",88.9953911002694
"626",89.2714568903202
"627",89.2575580195201
"628",89.3945132310646
"629",89.1457628513309
"630",89.4307055705946
"631",88.7901921903843
"632",89.1204476081773
"633",88.9868580839823
"634",89.4485439765048
"635",89.4343169142797
"636",89.2514133262925
"637",89.6674252777332
"638",89.1020780001334
"639",89.3855093534879
"640",89.4120381261327
"641",89.9471344787968
"642",89.3272168431918
"643",89.4532012191117
"644",89.2266535457841
"645",89.3384166414374
"646",89.2782400869697
"647",89.5899065986052
"648",89.5304744947252
"649",89.4413592091194
"650",89.7255006907509
"651",89.5379840408592
"652",89.9707056074932
"653",89.8711079306515
"654",90.3738204592796
"655",89.8340947028203
"656",89.8121774587247
"657",89.7226475800334
